genus	Control.Persistence.count	Control.New.count	Control.Persistence.fraction	Control.New.fraction	Control.Persistence.rank	Control.New.rank	rCDI.Engraftment.count	rCDI.Persistence.count	rCDI.Engraftment.fraction	rCDI.Persistence.fraction	rCDI.Engraftment.rank	rCDI.Persistence.rank
Dorea	127	48	0.7257142857142858	0.2742857142857143	0.8604651162069767	0.13953488379302326	26	0	0.6341463414634146	0	0.974999999905	1e-10
Eggerthella	16	17	0.48484848484848486	0.5151515151515151	0.5116279069744186	0.4883720930255814	17	0	0.6071428571428571	0	0.94999999991	1e-10
Enterococcus	0	8	0	1	1e-10	0.9999999999	0	12	0	0.1791044776119403	1e-10	0.59999999998
Erysipelotrichaceae_noname	61	108	0.3609467455621302	0.6390532544378699	0.2093023256395349	0.7906976743604651	68	12	0.4121212121212121	0.07272727272727272	0.59999999998	0.33333333336666665
Escherichia	27	36	0.42857142857142855	0.5714285714285714	0.39534883723023256	0.6046511627697674	3	8	0.2727272727272727	0.7272727272727273	0.40000000002	0.9999999999
Eubacterium	259	195	0.5704845814977973	0.42951541850220265	0.6279069767186046	0.3720930232813953	56	8	0.42424242424242425	0.06060606060606061	0.624999999975	0.30000000004
Flavonifractor	55	26	0.6790123456790124	0.32098765432098764	0.8139534883093024	0.18604651169069766	9	2	0.5294117647058824	0.11764705882352941	0.874999999925	0.40000000002
Fusobacterium	0	5	0	1	1e-10	0.9999999999	0	3	0	0.13043478260869565	1e-10	0.46666666667333334
Gordonibacter	16	32	0.3333333333333333	0.6666666666666666	0.16279069774186047	0.8372093022581396	7	0	0.4117647058823529	0	0.574999999985	1e-10
Haemophilus	19	32	0.37254901960784315	0.6274509803921569	0.2558139535372093	0.7441860464627906	4	2	0.11428571428571428	0.05714285714285714	0.20000000006000002	0.26666666671333333
Holdemania	53	28	0.654320987654321	0.345679012345679	0.767441860411628	0.2325581395883721	6	0	0.3	0	0.475000000005	1e-10
Lachnospiraceae_noname	214	241	0.4703296703296703	0.5296703296703297	0.4883720930255814	0.5116279069744186	102	3	0.43776824034334766	0.012875536480686695	0.69999999996	0.03333333342666667
Lactobacillus	0	22	0	1	1e-10	0.9999999999	17	76	0.08374384236453201	0.37438423645320196	0.125000000075	0.89999999992
Lactococcus	3	19	0.13636363636363635	0.8636363636363636	0.046511627997674415	0.9534883720023256	3	7	0.14285714285714285	0.3333333333333333	0.275000000045	0.8666666665933334
Odoribacter	61	31	0.6630434782608695	0.33695652173913043	0.7906976743604651	0.2093023256395349	4	0	0.4	0	0.54999999999	1e-10
Oscillibacter	15	26	0.36585365853658536	0.6341463414634146	0.2325581395883721	0.767441860411628	11	0	0.5238095238095238	0	0.84999999993	1e-10
Parabacteroides	146	29	0.8342857142857143	0.1657142857142857	0.9534883720023256	0.046511627997674415	22	0	0.43137254901960786	0	0.64999999997	1e-10
Parasutterella	52	8	0.8666666666666667	0.13333333333333333	0.9999999999	1e-10	5	0	0.35714285714285715	0	0.5	1e-10
Peptostreptococcaceae_noname	5	14	0.2631578947368421	0.7368421052631579	0.11627906984418604	0.883720930155814	5	1	0.1388888888888889	0.027777777777777776	0.25000000005	0.13333333340666667
Prevotella	17	20	0.4594594594594595	0.5405405405405406	0.441860465127907	0.558139534872093	4	1	0.10810810810810811	0.02702702702702703	0.175000000065	0.10000000008
Propionibacterium	1	7	0.125	0.875	0.023255814048837208	0.9767441859511627	1	2	0.07692307692307693	0.15384615384615385	0.10000000008	0.5333333333266667
Pseudoflavonifractor	28	29	0.49122807017543857	0.5087719298245614	0.5348837209232558	0.4651162790767442	3	0	0.3	0	0.475000000005	1e-10
Roseburia	151	104	0.592156862745098	0.40784313725490196	0.674418604616279	0.32558139538372094	21	0	0.3620689655172414	0	0.524999999995	1e-10
Rothia	5	7	0.4166666666666667	0.5833333333333334	0.3720930232813953	0.6279069767186046	4	17	0.13333333333333333	0.5666666666666667	0.225000000055	0.9666666665733333
Ruminococcus	93	138	0.4025974025974026	0.5974025974025974	0.34883720933255813	0.6511627906674419	36	0	0.4	0	0.54999999999	1e-10
Solobacterium	0	7	0	1	1e-10	0.9999999999	1	4	0.05555555555555555	0.2222222222222222	0.05000000009	0.6666666666333333
Staphylococcus	4	15	0.21052631578947367	0.7894736842105263	0.09302325589534882	0.9069767441046511	0	2	0	0.16666666666666666	1e-10	0.5666666666533333
Streptococcus	74	178	0.29365079365079366	0.7063492063492064	0.13953488379302326	0.8604651162069767	25	70	0.09090909090909091	0.2545454545454545	0.15000000007	0.69999999996
Subdoligranulum	9	37	0.1956521739130435	0.8043478260869565	0.06976744194651162	0.9302325580534884	2	0	0.09090909090909091	0	0.15000000007	1e-10
Veillonella	44	68	0.39285714285714285	0.6071428571428571	0.3023255814348837	0.69767441856511625	1	17	0.02631578947368421	0.4473684210526316	0.025000000095000002	0.9333333332466667
